count,PRVS[@etichetta='Country'],PRVR[@etichetta='Region / Federal State'],PRVP[@etichetta='District'],PRVC[@etichetta='Town / Municipality'],label,label_en,label_it,label_de,label_fr,type,scope_note,wikidata_description,tgn_uri,wikidata_uri,number_of_results
14943,Italia,Lazio,Roma,Roma,Roma,Rome,Roma,Rom,,inhabited places,"City positioned on 7 hills over the swampy Tiber river area; one of the oldest continuously occupied sites in Europe. Archaeological evidence attests to human occupation of the area from ca. 14,000 years ago, but the dense layer of later debris obscures Palaeolithic and Neolithic sites. Was an Etruscan city by 8th cen. BCE, their kings expelled and republic established by 500 BCE; soon ruled vast area and was center of Empire from 31 BCE; declined when capital moved to Constantinople in 330 CE; revived under popes.",capital and largest city of Italy,http://vocab.getty.edu/tgn/7000874,http://www.wikidata.org/entity/Q220,1
11427,Regno Unito,,,Londra,Greater London,Greater London,Londra,,Grand Londres,metropolitan areas,"Conurbation centered on London city; it is comprised of 33 unitary authorities (the City of London, thirteen Inner London boroughs, and nineteen Outer London boroughs) and their neighborhoods. Due to growth, towns and cities previously in other counties are now part of Greater London. The historic counties of Kent, Hertfordshire, and Essex extend in area beyond the current administrative counties with the same names to include substantial parts of Greater London. Most of Greater London south of the Thames was once part of the historic county of Surrey, while most of Greater London north of the Thames was historically part of the county of Middlesex. It is sometimes still referred to as a metropolitan county (formed 1965) although the council was abolished in 1986.",,http://vocab.getty.edu/tgn/7008136,,1
9857,Italia,Toscana,Firenze,Firenze,Firenze,Florence,Firenze,Florenz,Florence,inhabited places,"Etruscan settlment was nearby at Fiesole. The original settlement at the site of modern Florence was established by Julius Caesar in 59 BCE as a settlement for his veteran soldiers; originally called ""Fluentia,"" at the head of navigation on the Arno river and on the Casian Way. It escaped capture by the Goths in the 5th century, and by the 12th century was a thriving center. It was torn apart in Medieval times by the violent Guelph/Ghibelline rivalry: a series of wars was fought from the mid-13th century through the early 14th century between Guelf-controlled Florence and its allies (Montepulciano, Bologna, and Orvieto) and its Ghibelline opponents (Pisa, Siena, Pistoia, and Arezzo).  Florence came under the ostensible (later actual) rule of the  Medici family from 1434; historic core named UNESCO World Heritage Site in 1982.","Italian city and commune, located in Tuscany",http://vocab.getty.edu/tgn/7000457,http://www.wikidata.org/entity/Q2044,1
9600,Stati Uniti d'America,New York,,New York (NY),New York,,,,,counties,Coextensive with the borough of Manhattan.,"county in New York state, United States of America",http://vocab.getty.edu/tgn/1002715,http://www.wikidata.org/entity/Q500416,1
6142,Italia,Lombardia,Milano,Milano,Milano,Milan,,,,inhabited places,One of nation's richest cities; became the second city of the western Roman Empire after Rome; sacked by Attila the Hun in 452 and by Goths in 539; battled for autonomy with nearby cities 11th-12th centuries; controlled by Sforza family 15th century and by Spain 1540-1706; won independence from Austria in 1848; heavily bombed during World War II.,Italian commune and capital city of Lombardy,http://vocab.getty.edu/tgn/7005903,http://www.wikidata.org/entity/Q490,1
3755,Francia,Île-de-France,,Parigi,Paris,Paris,Parigi,,Paris,inhabited places,"Paris is the city and capital of France, located in the north-central part of the country. It was founded more than 2,000 years ago on an island in the Seine River. The City of Paris itself covers an area of 41 square miles (105 square kilometers). It occupies a central position in the productive agricultural region known as the Paris Basin. It is the nation's most important center of commerce and culture. It was captured and fortified by the Romans in 52 BCE and ruled by various other groups such as the Clovis, Northmen, English, and Germans.",capital city and largest city of France,http://vocab.getty.edu/tgn/7008038,http://www.wikidata.org/entity/Q90,1
3204,Italia,Veneto,Venezia,Venezia,Venezia,Venice,Veneto,Venetien,Venise,inhabited places,"The islands of the Venetian lagoon were settled by refugees from Altino and Aquileia after the Lombard invasion of northern Italy in 568. The settlement expanded into the Adriatic and Aegean from the 11th century. It was ruled by Austria, then France, 1798-1848. It went to Italy in 1866 The entire city including the lagoon was named an UNESCO World Heritage Site in 1987.","capital city of Veneto, Italy",http://vocab.getty.edu/tgn/7018159,http://www.wikidata.org/entity/Q641,1
2658,Italia,Emilia Romagna,Bologna,Bologna,Bologna,Bologna,,,,inhabited places,"Etruscan town was taken by Gallic Boii 4th century BCE; was Roman colony ca. 196 BCE; part of Greek exarchate of Ravenna 6th century CE, then went to pope; damaged in Goth and Hun invasions. There was internal Guelph-Ghibelline strife and a series of wars was fought from the mid-13th century through the early 14th century between Guelf-controlled Florence and allies (Montepulciano, Bologna, and Orvieto) and their Ghibelline opponents (Pisa, Siena, Pistoia, and Arezzo). Bologna thrived under Papal States from 1506.","city and commune in Emilia-Romagna, Italy",http://vocab.getty.edu/tgn/7004847,http://www.wikidata.org/entity/Q1891,1
1685,Italia,Lombardia,Bergamo,Bergamo,Bergamo,,,,,inhabited places,"Located in southern foothills of the Alps; sacked by Attila the Hun in the 5th century; rebuilt and became seat of Lombard duchy 1296; passed to Venice 1428-1797, to Austria in 1815, and  part of Italian kingdom 1859; site of Romanesque Cathedral begun in 1137 and Cappella Colleoni (1470-1476). The city today (population ca. 125,000) is divided into two parts: upper Bergamo (città alta) and lower Bergamo (città bassa), the modern city; the upper part crowns a steep hill and retains its circuit of 16th-century walls.","comune in Lombardy, Italy",http://vocab.getty.edu/tgn/7005025,http://www.wikidata.org/entity/Q628,1
1597,Italia,Campania,Napoli,Napoli,Napoli,Naples,,,,inhabited places,"Founded as Parthenope by Greek refugees from Cumae in the 8th century BCE; the site eventually gave rise to Neapolis in the 6th century BCE and was one of the most prominent cities of Magna Graecia; conquered by Romans 4th cen. BCE; part of kingdoms of Ostrogoths, Byzantines & Muslims; went to Kingdom of Two Sicilies, then to popes, and back to Sicily; damaged in WW II, and by earthquake in 1980; historic core named UNESCO World Heritage Site in 1995.","city and commune in Campania, Italy",http://vocab.getty.edu/tgn/7004474,http://www.wikidata.org/entity/Q2634,1
1533,Italia,Toscana,Siena,Siena,Siena,Siena,Siena,Siena,Siena,inhabited places,"Siena was founded as an Etruscan hill town, possibly by the Saina tribe; later it was the Roman city of Sena Julia (3rd century BCE). It flourished under the Lombard kings (6th century CE) and was a Medieval self-governing commune (constitution dates to 1179). Siena was a Medieval seat of pro-imperial Ghibelline power and was an economic and territorial rival of Guelf (anti-imperial) Florence. The population was ravaged by the Black Death (bubonic plague) in 1348. Siena was ruled by Charles of Anjou in the 13th century, the Visconti of Milan in the early 15th century, and the Medici of Florence after 1557. Historic core named an UNESCO World Heritage Site in 1995.","city in Tuscany, Italy and capital of the province of Siena",http://vocab.getty.edu/tgn/7011179,http://www.wikidata.org/entity/Q2751,1
1421,Stati Uniti d'America,District of Columbia,,Washington (DC),Washington,Washington,,,,inhabited places,"Coextensive with District of Columbia; located on swampy ground at navigational head of Potomac River; site was selected by 1st US president George Washington; city plan was laid out by French engineer Charles L'Enfant; burned in War of 1812, but rebuilt.",capital city of the United States of America,http://vocab.getty.edu/tgn/7013962,http://www.wikidata.org/entity/Q61,1
1177,Germania,,,Berlino,Berlin,Berlin,Berlino,Land Berlin,berlin,states,,"federated state, capital and largest city of Germany",http://vocab.getty.edu/tgn/7003670,http://www.wikidata.org/entity/Q64,1
1113,Austria,,,Vienna,Wien,Vienna state,Vienna,Wien,Vienne,states,,capital of and state in Austria,http://vocab.getty.edu/tgn/7003030,http://www.wikidata.org/entity/Q1741,1
1068,Italia,Piemonte,Torino,Torino,Torino,Turin,,,,inhabited places,"Located on Po river near junction with other rivers; Taurini town was partly destroyed by Hannibal 218 BCE; was important Roman military town; part of Lombard kingdom, then of Frankish empire; ruled by Savoy from the 11th century and held by the French in the 16th and 19th centuries.",city and commune in Italy,http://vocab.getty.edu/tgn/7005688,http://www.wikidata.org/entity/Q495,1
1049,Italia,Liguria,Genova,Genova,Genova,Genoa,,,Gênes,inhabited places,"Nation's most important seaport; destroyed by Carthage 205 BCE and rebuilt by Romans; controlled successively by France, Milan, Austria, and Sardinia; ceded to unified Italy 1861; birthplace of Christopher Columbus (1447) and composer Niccolò Paganini (1784).",Italian city,http://vocab.getty.edu/tgn/7008546,http://www.wikidata.org/entity/Q1449,1
917,Italia,Umbria,Perugia,Perugia,Perugia,Perugia,,,Pérouse,inhabited places,"Ancient hill town; was home to Umbrians, and one of 12 cities of ancient Etruria; passed to Rome in 310 BCE, to Lombards in 592 CE; generally Guelph in Guelph/Ghibelline wars with neighboring towns; torn by internal strife in the 15th century; came under control of papacy in 1540.",Italian comune,http://vocab.getty.edu/tgn/7000526,http://www.wikidata.org/entity/Q3437,1
910,Città del Vaticano,,,Città del Vaticano,Santa Sede,Holy See,Santa Sede,Vatikanstadt,Saint-Siège,nations,"Papal sovereign state located within Rome, Italy; was long the headquarters of the Papal States, which had varying boundaries from 3rd-20th centuries; flourished particularly during Medieval, Renaissance and Baroque periods; was occupied by Italy in 1870.","Holy See's independent state, an enclave within Rome, Italy",http://vocab.getty.edu/tgn/7001168,http://www.wikidata.org/entity/Q237,1
808,Italia,Veneto,Verona,Verona,Verona,Verona,,,,inhabited places,Founded by Euganei or Raeti; was Roman colony; occupied by Ostrogoths under Theoderic 489; captured by Charlemagne 774; independent commune from 12th cen.; held by Venice 1405-1797; ceded to Austria by Napoleon; united to Kingdom of Italy 1866.,"city in Veneto, northern Italy",http://vocab.getty.edu/tgn/7003262,http://www.wikidata.org/entity/Q2028,1
